"cv maker",,"ai_overview,related_search,also_asks,snip_breadcrumbs",2,49,9,0,14800,665,0.647603,78,115,https://resumaker.pl/
"curriculum vitae online",,"ai_overview,related_search,also_asks,snip_breadcrumbs",3,49,9,0,1900,85,0.894916,71,118,https://resumaker.pl/
"personal fitness instructor",,"related_search,also_asks,video,local_pack,snip_breadcrumbs",3,7,9,0,480,21,0.443243,13,90,https://resumaker.pl/przykładowe-cv/personal-fitness-trainer/
"cv lekarz",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,6,9,0,260,11,0.354955,38,90,https://resumaker.pl/przykładowe-cv/lekarz-podstawowej-opieki-zdrowotnej/
"cv polska",,"pic,also_asks,ads_bot,video,related_search,snip_breadcrumbs",2,50,9,-2,260,11,23.803128,53,80,https://resumaker.pl/
"cv darmowy kreator",,"related_search,also_asks,snip_breadcrumbs",3,44,9,0,210,9,0.648492,76,226000,https://resumaker.pl/
"cv nauczyciela przedszkola",,"also_asks,related_search,pic,ai_overview,snip_breadcrumbs,snip_image_thumbnail",3,8,9,0,210,9,0.250106,29,249000,https://resumaker.pl/przykładowe-cv/doświadczony-przedszkolak-nauczyciel/
"napisać cv",,"ai_overview,related_search,pic,also_asks,snip_breadcrumbs",2,46,9,0,210,9,0.28,67,1730000,https://resumaker.pl/
"ai cv",,"video,also_asks,related_search,pic,snip_breadcrumbs",2,9,9,0,210,9,20.531971,74,80,https://resumaker.pl/
"cv inżyniera",,"also_asks,pic,related_search,snip_breadcrumbs",2,4,9,0,170,7,9.084487,40,90,https://resumaker.pl/przykładowe-cv/inzynier-procesu/
"list motywacyjny na stanowisko urzędnicze",,"also_asks,related_search,pic,ai_overview,snip_breadcrumbs,snip_fqdn_in_aio",5,19,9,0,140,6,0.041989,37,55700,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"cv elektryk",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",2,5,9,0,140,6,0.159351,30,90,https://resumaker.pl/przykładowe-cv/głowny-inzynier-elektryk/
"wzór cv pracuj pl",,"related_search,pic,also_asks,snip_breadcrumbs",4,31,9,0,110,4,9.163817,55,42,https://resumaker.pl/
"cv gastronomia",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,N/A,9,0,110,4,0.20563518181818,14,90,https://resumaker.pl/przykładowe-cv/pracownik-gastronomii/
"kreator darmowy cv",,"also_asks,related_search,snip_breadcrumbs",3,48,9,0,110,4,0.623789,78,166000,https://resumaker.pl/
"darmowy edytor cv",,"video,ai_overview,also_asks,related_search,snip_breadcrumbs",3,44,9,0,110,4,20.824119,82,10700,https://resumaker.pl/
"asystentka księgowej",,"related_search,also_asks,snip_breadcrumbs",2,4,9,0,110,4,0.030988,28,100,https://resumaker.pl/przykładowe-cv/księgowy---asystent/
"cv asystentka stomatologiczna",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,4,9,0,110,4,5.981926,36,90,https://resumaker.pl/przykładowe-cv/certyfikowany-asystent-stomatologiczny/
"list motywacyjny szablon za darmo",,"related_search,snip_breadcrumbs",5,13,9,0,110,4,0.124053,61,22000,https://resumaker.pl/list-motywacyjny/
"cv spawacz",,"also_asks,related_search,pic,snip_breadcrumbs",2,4,9,-1,90,4,0.204364,21,90,https://resumaker.pl/przykładowe-cv/spawacz-tig/
"przykłady listów motywacyjnych",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs,snip_image_thumbnail",3,39,9,0,90,4,0.050132,42,12600,https://resumaker.pl/przykładowe-list-motywacyjny/pobierajacy/
"list motywacyjny do pracy w urzędzie",,"also_asks,related_search,pic,snip_breadcrumbs",6,19,9,0,90,4,0.039425,31,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"podanie o pracę w przedszkolu",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs",5,13,9,0,90,4,0,1,327000,https://resumaker.pl/przykładowe-list-motywacyjny/nauczyciel-przedszkola/
"cv logistyka",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,3,9,0,70,3,0.077751,12,1130000,https://resumaker.pl/przykładowe-cv/logistyk/
"krótkie podanie o pracę pielęgniarki",,"ai_overview,also_asks,related_search,pic,snip_breadcrumbs,snip_fqdn_in_aio",5,7,9,0,70,3,0,1,11400,https://resumaker.pl/przykładowe-list-motywacyjny/pielegniarka-zawodowa/
"cv do policji",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,8,9,0,70,3,0.181368,23,87,https://resumaker.pl/przykładowe-cv/specjalny-funkcjonariusz-policji/
"developer cv",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",2,6,9,0,70,3,0.66128,6,90,https://resumaker.pl/przykładowe-cv/full-stack-developer/
"kierownik oddziału",,"related_search,pic,ai_overview,also_asks,snip_breadcrumbs",2,1,9,0,70,3,0.0214,3,3450000,https://resumaker.pl/przykładowe-cv/branch-manager/
"cv do przedszkola",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail",3,9,9,0,70,3,0.235811,24,706000,https://resumaker.pl/przykładowe-cv/doświadczony-przedszkolak-nauczyciel/
"cv kosmetyczka",,"related_search,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,3,9,0,70,3,0,5,144000,https://resumaker.pl/przykładowe-cv/kosmetyczka/
